127.0.0.1 - - [04/Apr/2017:16:13:53 -0300] "GET / HTTP/1.1" 404 1004
127.0.0.1 - - [04/Apr/2017:16:14:00 -0300] "GET /Grupo4/ HTTP/1.1" 200 75
127.0.0.1 - - [04/Apr/2017:16:17:08 -0300] "OPTIONS /Grupo4/login HTTP/1.1" 200 -
127.0.0.1 - - [04/Apr/2017:16:17:12 -0300] "POST /Grupo4/login HTTP/1.1" 200 21058
127.0.0.1 - - [04/Apr/2017:16:17:17 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:17:17 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:18:06 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:18:06 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:18:07 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:18:07 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:18:22 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:18:22 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:20:16 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:20:16 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:20:16 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:20:16 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:21:06 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:21:06 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:21:06 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:21:06 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:25:20 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:25:20 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:25:20 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:25:20 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:25:40 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:25:40 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:25:40 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:25:40 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:25:54 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:25:54 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:25:54 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:25:54 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:26:52 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:26:52 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:26:52 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:26:52 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:27:44 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:27:44 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:27:44 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:27:44 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:27:51 -0300] "OPTIONS /Grupo4/login HTTP/1.1" 200 -
127.0.0.1 - - [04/Apr/2017:16:27:52 -0300] "POST /Grupo4/login HTTP/1.1" 200 21058
127.0.0.1 - - [04/Apr/2017:16:27:52 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:27:52 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:27:52 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:27:52 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:30:58 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:30:58 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:30:58 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:30:58 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:31:28 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:31:28 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:31:28 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:31:28 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:31:50 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:31:50 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:31:50 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:31:50 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:07 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:32:07 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:07 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
